,x,y
114,0.326963,0.124593
115,0.368063,0.131573
116,0.0759788,0.437434
117,0.384779,0.109767
118,0.345872,0.28967
119,0.281907,0.128929
120,0.348011,0.292455
121,0.225728,0.781333
122,0.0908848,0.641296
123,0.209063,0.759477
124,0.568344,0.0755773
125,0.370436,0.784575
126,0.50216,0.0756944
127,0.376801,0.775499
128,0.0524345,0.422514
129,0.343374,0.774989
130,0.278846,0.161064
131,0.380362,0.772093
132,0.360972,0.778017
133,0.546618,0.0763017
134,0.2349,0.132455
135,0.321017,0.801071
136,0.34817,0.778295
137,0.367099,0.778807
138,0.16915,0.712395
139,0.085348,0.404762
140,0.476783,0.0742123
141,0.0501703,0.574925
142,0.0514679,0.425858
143,0.310789,0.776651
144,0.0283525,0.530673
145,0.195573,0.641358
146,0.0378272,0.548148
147,0.380817,0.780294
148,0.369918,0.777346
149,0.0648148,0.601699
150,0.0509465,0.573375
151,0.297235,0.0886173
152,0.413486,0.776288
153,0.110666,0.321047
154,0.300682,0.106482
155,0.321285,0.780411
156,0.358226,0.777196
157,0.502969,0.0731629
158,0.214684,0.782157
159,0.381835,0.782959
160,0.053588,0.423681
161,0.132263,0.687942
162,0.20982,0.621942
163,0.0253521,0.532551
164,0.358857,0.783454
165,0.362252,0.785207
166,0.580752,0.171437
167,0.277244,0.161896
168,0.343426,0.293259
169,0.69694,0.136661
170,0.1995,0.523849
171,0.488509,0.911586
172,0.285494,0.141667
173,0.344877,0.292785
174,0.201543,0.730556
175,0.299117,0.621311
176,0.567957,0.0942761
177,0.262676,0.606349
178,0.217185,0.574716
179,0.323048,0.277664
180,0.307727,0.616433
181,0.252388,0.615595
182,0.352512,0.292742
183,0.0923221,0.647836
184,0.22924,0.75385
185,0.253443,0.778063
186,0.486129,0.072921
187,0.324053,0.800064
188,0.3562,0.790338
189,0.229972,0.759971
190,0.258483,0.774249
191,0.48588,0.0736111
192,0.0444679,0.437342
193,0.0387767,0.549467
194,0.45241,0.0729139
195,0.631256,0.0794544
196,0.049414,0.57166
197,0.261861,0.780864
198,0.391188,0.926536
199,0.0503951,0.424469
200,0.34408,0.135017
201,0.28204,0.799696
202,0.276031,0.926831
203,0.0821232,0.630931
204,0.392901,0.780073
205,0.282014,0.0962324
206,0.0422769,0.559091
207,0.0487654,0.569403
208,0.516915,0.0720867
209,0.7151,0.706654
210,0.0286036,0.536737
211,0.238678,0.766035
212,0.0726384,0.613878
213,0.138073,0.690917
214,0.205219,0.203367
215,0.439918,0.142798
216,0.365016,0.925121
217,0.374028,0.779218
218,0.2507,0.773395
219,0.288889,0.781151
220,0.0634209,0.403943
221,0.0398148,0.441777
222,0.350638,0.779362
223,0.22475,0.752703
224,0.351671,0.778442
225,0.235685,0.764711
226,0.0339961,0.453411
227,0.0366027,0.451966
228,0.228716,0.755175
229,0.244648,0.772446
230,0.334427,0.272512
231,0.206564,0.545265
232,0.300137,0.781733
233,0.0606326,0.588431
234,0.0672527,0.600727
235,0.24702,0.77252
236,0.359498,0.785325
237,0.290004,0.783735
238,0.366608,0.777916
239,0.110367,0.321363
240,0.0472826,0.430837
241,0.403377,0.761002
242,0.385982,0.768339
243,0.260643,0.775926
244,0.34983,0.79537
245,0.0321881,0.458626
246,0.708877,0.30475
247,0.239023,0.898349
248,0.0314146,0.462227
249,0.18459,0.278549
250,0.0265859,0.472186
251,0.237873,0.767864
252,0.0440059,0.563962
253,0.138137,0.279495
254,0.238178,0.777885
255,0.503484,0.0781545
256,0.139689,0.687151
257,0.406784,0.772937
258,0.2478,0.770436
259,0.333951,0.269498
260,0.475734,0.0795575
261,0.262399,0.775101
262,0.304588,0.786728
263,0.253275,0.771883
264,0.249268,0.770241
265,0.0525272,0.422985
266,0.226258,0.756102
267,0.247707,0.769665
268,0.226943,0.757642
269,0.0613565,0.568362
270,0.314047,0.776576
271,0.0407645,0.556363
272,0.228328,0.75503
273,0.365079,0.775732
274,0.25645,0.772988
275,0.381481,0.775432
276,0.272295,0.158138
277,0.27373,0.158413
278,0.267884,0.175292
279,0.3439,0.288606
280,0.306835,0.137677
281,0.157233,0.247625
282,0.0182838,0.521127
283,0.376663,0.787396
284,0.370593,0.661746
285,0.193952,0.556728
286,0.0667415,0.401571
287,0.551953,0.161416
288,0.284503,0.178752
289,0.294884,0.138763
290,0.301893,0.541615
291,0.246044,0.774832
292,0.267074,0.13893
293,0.352116,0.134392
294,0.355142,0.295922
295,0.103052,0.665432
296,0.018254,0.479475
297,0.0837037,0.633169
298,0.0337903,0.540765
299,0.239005,0.171026
300,0.373049,0.294912
301,0.339228,0.138324
302,0.573442,0.175384
303,0.0794118,0.376928
304,0.0988985,0.341539
305,0.0613302,0.592334
306,0.272266,0.152484
307,0.355633,0.778086
308,0.474961,0.140689
309,0.066948,0.589451
310,0.556917,0.165877
311,0.147201,0.699505
